inn,name,site,support_team_size_min,support_evidence,evidence_url,evidence_type,source,has_support_email,has_contact_form,has_online_chat,has_messengers,has_support_section,has_kb_or_faq,mentions_24_7,revenue,employees,okved_main,support_email,support_url,kb_url,chat_vendor
7728168971,Альфа-Банк,https://alfabank.ru,20,Найдено 10 вакансий поддержки,https://hh.ru,jobs,,0,0,0,0,0,0,0,,,,,,,
7710140679,Тинькофф Банк,https://tinkoff.ru,20,Найдено 10 вакансий поддержки,https://hh.ru,jobs,,0,0,0,0,0,0,0,,,,,,,
7725114488,Россельхозбанк,https://rshb.ru,10,Круглосуточная работа поддержки,https://rshb.ru/about,site,,0,0,0,0,0,0,1,,,,,,,
7734202860,Московский Кредитный Банк,https://mkb.ru,20,Найдено 10 вакансий поддержки,https://hh.ru,jobs,,0,0,0,0,0,0,0,,,,,,,
1653001805,АК БАРС Банк,https://akbars.ru,20,Найдено 10 вакансий поддержки,https://hh.ru,jobs,,0,1,1,0,0,1,0,,,,,,,
7730060164,Росбанк,https://rosbank.ru,10,Круглосуточная работа поддержки,https://rosbank.ru,site,,0,0,0,0,1,0,1,,,,,,,
7714698320,Yota,https://yota.ru,20,Найдено 10 вакансий поддержки,https://hh.ru,jobs,,0,0,0,0,0,0,0,,,,,,,
7736207543,Яндекс Маркет,https://market.yandex.ru,20,Найдено 10 вакансий поддержки,https://hh.ru,jobs,,0,1,0,0,0,0,0,,,,,,,
7717701273,Lamoda,https://lamoda.ru,20,Найдено 10 вакансий поддержки,https://hh.ru,jobs,,0,0,0,0,0,0,0,,,,,,,
7725563778,1С,https://1c.ru,10,Круглосуточная работа поддержки,https://1c.ru/support,site,,1,0,0,0,1,0,1,,,,,,,
7811632778,Selectel,https://selectel.ru,10,Круглосуточная работа поддержки,https://selectel.ru,site,,1,0,0,0,1,1,1,,,,,,,
7727735258,МойСклад,https://moysklad.ru,10,Круглосуточная работа поддержки,https://moysklad.ru,site,,0,0,0,0,0,1,1,,,,,,,
7736252869,Cloud.ru,https://cloud.ru,10,Круглосуточная работа поддержки,https://cloud.ru/about,site,,1,0,0,0,0,0,1,,,,,,,
7724335553,СберМаркет,https://sbermarket.ru,10,Круглосуточная работа поддержки,https://sbermarket.ru/about,site,,0,0,0,0,0,0,1,,,,,,,
7715749178,ВкусВилл,https://vkusvill.ru,20,Найдено 10 вакансий поддержки,https://hh.ru,jobs,,0,0,0,0,0,0,0,,,,,,,
7714016366,Ингосстрах,https://ingos.ru,10,Круглосуточная работа поддержки,https://ingos.ru,site,,0,1,0,0,0,1,1,,,,,,,
7728012297,АльфаСтрахование,https://alfastrah.ru,20,Найдено 10 вакансий поддержки,https://hh.ru,jobs,,0,0,0,0,0,0,0,,,,,,,
7736034785,Согаз,https://sogaz.ru,10,Круглосуточная работа поддержки,https://sogaz.ru,site,,0,0,0,0,0,1,1,,,,,,,
7712040126,Аэрофлот,https://aeroflot.ru,20,Найдено 10 вакансий поддержки,https://hh.ru,jobs,,0,0,0,0,0,0,0,,,,,,,
7811632778,Calltouch,https://calltouch.ru,10,Круглосуточная работа поддержки,https://calltouch.ru/about,site,,0,1,1,0,1,1,1,,,,,,,
2315088490,Манго Телеком,https://mango-office.ru,10,Круглосуточная работа поддержки,https://mango-office.ru,site,,1,0,0,0,1,1,1,,,,,,,
7727525537,Teleperformance Россия,https://teleperformance.com/ru-ru/,20,Найдено 10 вакансий поддержки,https://hh.ru,jobs,,0,0,0,0,0,1,0,,,,,,,
7704217370,СберКорус,https://sbercorus.ru,16,Найдено 8 вакансий поддержки,https://hh.ru,jobs,,1,0,0,0,1,0,0,,,,,,,
7723540604,М.Видео,https://mvideo.ru,10,Круглосуточная работа поддержки,https://mvideo.ru,site,,0,0,0,0,0,0,0,,,,,,,
2310047199,Магнит,https://magnit.ru,10,Круглосуточная работа поддержки,https://magnit.ru,site,,0,0,0,0,0,0,1,,,,,,,
7704217370,Вкусно — и точка,https://vkusnoitochka.ru,18,Найдено 9 вакансий поддержки,https://hh.ru,jobs,,0,1,0,0,0,0,0,,,,,,,
7728563778,Burger King Россия,https://burgerking.ru,20,Найдено 10 вакансий поддержки,https://hh.ru,jobs,,0,0,0,0,0,0,0,,,,,,,
7727525537,Teleperformance Россия,https://teleperformance.ru,20,Найдено 10 вакансий поддержки,https://hh.ru,jobs,,0,0,0,0,0,0,0,,,,,,,
7704217370,СберКорус,https://sbercorus.ru,16,Найдено 8 вакансий поддержки,https://hh.ru,jobs,,1,0,0,0,1,0,0,,,,,,,
7723540604,М.Видео,https://mvideo.ru,10,Круглосуточная работа поддержки,https://mvideo.ru,site,,0,0,0,0,0,0,0,,,,,,,
7727545550,М.Видео-Эльдорадо,https://mvideo.ru,10,Круглосуточная работа поддержки,https://mvideo.ru,site,,0,0,0,0,0,0,0,,,,,,,
2310047199,Магнит,https://magnit.ru,10,Круглосуточная работа поддержки,https://magnit.ru,site,,0,0,0,0,0,0,1,,,,,,,
7825702026,Лента,https://lenta.com,10,Найдено 5 вакансий поддержки,https://hh.ru,jobs,,0,0,0,0,0,0,0,,,,,,,
7710140679,Тинькофф Страхование,https://tinkoffinsurance.ru,10,Круглосуточная работа поддержки,https://tinkoffinsurance.ru,site,,0,0,0,0,1,0,1,,,,,,,
